[x, y, w, h]=[70,186,93,210]
[x, y, w, h]=[102,185,122,208]

[x, y, w, h]=[152,196,225,255]
[x, y, w, h]=[223,197,306,277]
[x, y, w, h]=[278,198,352,258]
[x, y, w, h]=[4,200,72,261]
[x, y, w, h]=[70,187,93,212]
[x, y, w, h]=[102,185,122,208]

[x, y, w, h]=[222,196,306,279]
[x, y, w, h]=[154,196,225,254]
[x, y, w, h]=[278,197,353,258]
[x, y, w, h]=[4,203,74,262]
[x, y, w, h]=[102,185,121,208]
[x, y, w, h]=[70,187,93,213]

[x, y, w, h]=[223,196,305,280]
[x, y, w, h]=[278,197,352,256]
[x, y, w, h]=[159,196,231,255]
[x, y, w, h]=[1,205,77,262]
[x, y, w, h]=[102,186,121,208]

[x, y, w, h]=[224,194,303,280]
[x, y, w, h]=[277,197,350,255]
[x, y, w, h]=[162,196,234,253]
[x, y, w, h]=[0,204,79,261]
[x, y, w, h]=[34,166,320,243]
[x, y, w, h]=[102,186,121,208]

[x, y, w, h]=[224,194,303,281]
[x, y, w, h]=[275,195,350,257]
[x, y, w, h]=[0,202,81,262]
[x, y, w, h]=[164,197,232,254]

[x, y, w, h]=[223,194,303,281]
[x, y, w, h]=[275,194,351,257]
[x, y, w, h]=[0,201,83,262]
[x, y, w, h]=[167,197,228,254]
[x, y, w, h]=[37,166,315,244]

[x, y, w, h]=[275,192,352,259]
[x, y, w, h]=[223,194,302,283]
[x, y, w, h]=[0,201,85,261]
[x, y, w, h]=[171,197,227,254]

[x, y, w, h]=[275,191,354,260]
[x, y, w, h]=[222,194,301,284]
[x, y, w, h]=[0,202,87,262]
[x, y, w, h]=[176,193,230,247]

[x, y, w, h]=[275,190,355,261]
[x, y, w, h]=[223,194,300,285]
[x, y, w, h]=[0,202,90,261]
[x, y, w, h]=[180,192,231,247]

[x, y, w, h]=[276,191,356,260]
[x, y, w, h]=[220,195,299,286]
[x, y, w, h]=[0,202,92,260]
[x, y, w, h]=[184,191,234,246]

[x, y, w, h]=[278,191,353,260]
[x, y, w, h]=[221,196,299,285]
[x, y, w, h]=[1,200,95,261]
[x, y, w, h]=[188,190,234,245]

[x, y, w, h]=[278,190,354,261]
[x, y, w, h]=[220,195,300,284]
[x, y, w, h]=[3,199,100,261]
[x, y, w, h]=[191,188,234,244]

[x, y, w, h]=[276,189,355,262]
[x, y, w, h]=[220,195,301,284]
[x, y, w, h]=[5,199,102,260]

[x, y, w, h]=[277,190,356,261]
[x, y, w, h]=[221,194,300,284]
[x, y, w, h]=[7,198,107,261]

[x, y, w, h]=[275,188,359,262]
[x, y, w, h]=[221,196,300,284]
[x, y, w, h]=[10,198,107,260]

[x, y, w, h]=[276,190,358,261]
[x, y, w, h]=[222,196,301,283]
[x, y, w, h]=[15,203,119,262]

[x, y, w, h]=[221,196,301,282]
[x, y, w, h]=[14,204,122,260]
[x, y, w, h]=[290,194,360,258]

[x, y, w, h]=[221,196,302,282]
[x, y, w, h]=[15,203,122,261]
[x, y, w, h]=[291,194,358,259]

[x, y, w, h]=[221,195,303,282]
[x, y, w, h]=[292,195,358,258]
[x, y, w, h]=[15,203,125,261]

[x, y, w, h]=[20,202,126,261]
[x, y, w, h]=[224,195,303,283]
[x, y, w, h]=[293,196,358,257]

[x, y, w, h]=[23,200,130,260]
[x, y, w, h]=[292,194,356,258]
[x, y, w, h]=[225,195,302,281]
[x, y, w, h]=[199,184,216,203]

[x, y, w, h]=[28,200,134,258]
[x, y, w, h]=[225,195,301,281]
[x, y, w, h]=[293,195,357,257]
[x, y, w, h]=[200,184,216,203]

[x, y, w, h]=[32,200,139,257]
[x, y, w, h]=[226,195,301,281]
[x, y, w, h]=[292,195,358,258]

[x, y, w, h]=[34,197,145,257]
[x, y, w, h]=[226,196,302,282]
[x, y, w, h]=[295,196,359,257]

[x, y, w, h]=[37,196,149,258]
[x, y, w, h]=[226,197,303,283]
[x, y, w, h]=[296,197,360,257]

[x, y, w, h]=[225,197,305,283]
[x, y, w, h]=[40,193,148,260]
[x, y, w, h]=[298,197,361,257]

[x, y, w, h]=[224,197,304,282]
[x, y, w, h]=[48,199,150,258]
[x, y, w, h]=[298,197,360,257]

[x, y, w, h]=[224,198,305,282]
[x, y, w, h]=[50,203,153,257]
[x, y, w, h]=[297,197,361,257]

[x, y, w, h]=[223,198,306,282]
[x, y, w, h]=[50,202,157,256]
[x, y, w, h]=[298,197,361,257]

[x, y, w, h]=[221,198,304,282]
[x, y, w, h]=[55,200,162,256]
